Date,Open,Adj Close,Volume
2022-07-08,118.69999694824219,112.1609878540039,1115400
2022-07-11,116.58000183105469,108.64020538330078,1206600
2022-07-12,114.20999908447266,110.41011047363281,1094800
2022-07-13,113.70999908447266,110.1056137084961,1025700
2022-07-14,113.62999725341797,109.27774047851562,825900
2022-07-15,117.2699966430664,111.142822265625,908300
2022-07-18,117.22000122070312,109.34436798095703,1768800
2022-07-19,117.16000366210938,113.96896362304688,1326700
2022-07-20,119.77999877929688,114.2829818725586,1172600
2022-07-21,120.19999694824219,116.99494934082031,1797600
2022-07-22,131.1999969482422,121.5434341430664,2590600
2022-07-25,127.2699966430664,120.72509002685547,1914400
2022-07-26,125.4000015258789,120.1065673828125,1724000
2022-07-27,124.5,120.78218078613281,1828300
2022-07-28,127.4800033569336,124.04603576660156,1310700
2022-07-29,130.35000610351562,123.02787017822266,1316700
2022-08-01,128.3699951171875,123.04692077636719,898500
2022-08-02,128.82000732421875,120.51573181152344,1463900
2022-08-03,126.52999877929688,122.02872467041016,1004600
2022-08-04,128.55999755859375,121.924072265625,839300
2022-08-05,126.69999694824219,121.19134521484375,1099300
2022-08-08,128.91000366210938,122.07630157470703,938800
2022-08-09,126.95999908447266,121.61734008789062,976300
2022-08-10,130.94000244140625,127.6891098022461,1354000
2022-08-11,134.75,127.49787139892578,1065600
2022-08-12,134.0399932861328,129.61105346679688,783000
2022-08-15,135.22000122070312,130.41427612304688,737900
2022-08-16,135.69000244140625,131.1983184814453,761200
2022-08-17,135.3000030517578,128.31063842773438,1005500
2022-08-18,134.25,127.6317367553711,880100
2022-08-19,132.6999969482422,126.15921783447266,772300
2022-08-22,129.8000030517578,121.65560150146484,1102200
2022-08-23,126.98999786376953,122.05718994140625,760100
2022-08-24,127.47000122070312,122.40139770507812,782400
2022-08-25,129.1699981689453,126.36959075927734,716000
2022-08-26,132.30999755859375,120.5177230834961,751100
2022-08-29,125.08999633789062,120.42210388183594,507700
2022-08-30,128.1300048828125,122.18148040771484,1215900
2022-08-31,129.1300048828125,121.41653442382812,1574300
2022-09-01,125.6500015258789,119.08344268798828,1142100
2022-09-02,126.51000213623047,118.33761596679688,1338600
2022-09-06,125.48999786376953,118.27069091796875,1310300
2022-09-07,124.29000091552734,122.23884582519531,2116500
2022-09-08,126.37999725341797,122.16236114501953,1153500
2022-09-09,128.42999267578125,122.49702453613281,1160300
2022-09-12,129.0800018310547,125.81498718261719,1020200
2022-09-13,127.2699966430664,119.03562927246094,1207400
2022-09-14,123.66000366210938,114.89534759521484,1935300
2022-09-15,120.30000305175781,115.16309356689453,1284500
2022-09-16,117.05000305175781,112.33277893066406,2133600
2022-09-19,116.83000183105469,114.00609588623047,972500
2022-09-20,117.7300033569336,111.54869842529297,1081700
2022-09-21,116.20999908447266,108.33590698242188,1089400
2022-09-22,112.93000030517578,107.01636505126953,965000
2022-09-23,111.0,107.39884948730469,1248400
2022-09-26,112.5,106.29923248291016,925300
2022-09-27,112.38999938964844,106.19405364990234,1206300
2022-09-28,112.47000122070312,108.33590698242188,1503200
2022-09-29,111.81999969482422,106.71994018554688,905800
2022-09-30,112.0,105.84027099609375,1163900
2022-10-03,112.44000244140625,109.18692016601562,1366500
2022-10-04,116.02999877929688,113.92959594726562,1581600
2022-10-05,117.44999694824219,114.96228790283203,1475400
2022-10-06,119.7699966430664,112.57181549072266,1692400
2022-10-07,116.38999938964844,109.35902404785156,1052700
2022-10-10,108.66000366210938,105.89765167236328,2952500
