Date,Open,Adj Close,Volume
2024-01-30,7120.669921875,15800,7130.2900390625
2024-01-31,7075.2900390625,25500,7116.0
2024-02-01,7211.31005859375,22200,7130.0
2024-02-02,7319.97998046875,25200,7170.669921875
2024-02-05,7166.89990234375,23700,7251.0
2024-02-06,7332.81982421875,32000,7240.0
2024-02-07,7420.7099609375,17000,7399.5
2024-02-08,7486.68994140625,23300,7398.9501953125
2024-02-09,7447.990234375,18000,7470.0498046875
2024-02-12,7617.240234375,17300,7449.68994140625
2024-02-13,7349.02001953125,17500,7378.7998046875
2024-02-14,7501.72998046875,14600,7409.60986328125
2024-02-15,7534.72021484375,15100,7541.8798828125
2024-02-16,7390.64990234375,9900,7450.0
2024-02-20,7420.02001953125,13300,7365.0
2024-02-21,7397.52001953125,15500,7486.64013671875
2024-02-22,7533.2900390625,12800,7460.0
2024-02-23,7584.75,13800,7538.0
2024-02-26,7569.56005859375,9800,7612.25
2024-02-27,7543.10986328125,10600,7561.41015625
2024-02-28,7584.990234375,12400,7532.0
2024-02-29,7625.56982421875,28000,7600.75
2024-03-01,7687.10009765625,15000,7531.02001953125
2024-03-04,7651.830078125,16300,7698.43017578125
2024-03-05,7595.10009765625,15300,7651.830078125
2024-03-06,7709.27001953125,16600,7679.97998046875
2024-03-07,7682.2998046875,27700,7760.0
2024-03-08,7654.990234375,18200,7693.669921875
2024-03-11,7625.0,18500,7640.0
2024-03-12,7723.0,15800,7612.58984375
2024-03-13,7746.2998046875,18500,7723.8701171875
2024-03-14,7559.52978515625,25000,7793.580078125
2024-03-15,7565.8701171875,39300,7499.0498046875
2024-03-18,7630.83984375,17900,7635.0
2024-03-19,7791.5400390625,19700,7653.97998046875
2024-03-20,7958.4501953125,21400,7806.419921875
2024-03-21,8001.9599609375,23900,8022.919921875
2024-03-22,7971.7099609375,19100,7987.0
2024-03-25,7907.0498046875,14200,7967.7001953125
2024-03-26,7865.0,16600,7920.0498046875
2024-03-27,7980.740234375,14800,7910.0
2024-03-28,8099.9599609375,17600,8010.0
2024-04-01,8026.27001953125,14400,8097.97998046875
2024-04-02,7852.89990234375,17900,7925.33984375
2024-04-03,7914.2998046875,18400,7840.0
2024-04-04,7790.0,15300,8000.0
2024-04-05,7907.89013671875,12600,7801.3798828125
2024-04-08,7871.14990234375,14800,7928.0
2024-04-09,7972.85009765625,16900,7933.0
2024-04-10,7658.1298828125,21000,7780.0
2024-04-11,7757.18017578125,14900,7727.0
2024-04-12,7817.97998046875,17800,7750.0
2024-04-15,7761.43994140625,25300,7870.0
2024-04-16,7657.0,23100,7730.0
2024-04-17,7669.93994140625,20100,7726.3701171875
2024-04-18,7702.259765625,21500,7742.5498046875
2024-04-19,7685.0,27600,7765.0
2024-04-22,7806.7900390625,18200,7710.0
2024-04-23,7835.10986328125,21300,7833.0
2024-04-24,7798.27978515625,12600,7818.0
2024-04-25,7725.0,24300,7726.1201171875
2024-04-26,7647.0400390625,24600,7730.0
2024-04-29,7540.0,25800,7676.81982421875
2024-04-30,7438.85009765625,22700,7489.0
2024-05-01,7457.0,16700,7451.7900390625
2024-05-02,7479.009765625,13300,7485.02001953125
2024-05-03,7586.5498046875,15600,7595.52978515625
2024-05-06,7624.830078125,11800,7663.35009765625
2024-05-07,7754.419921875,19600,7620.0
2024-05-08,7575.0,17400,7752.0
2024-05-09,7670.89990234375,16600,7568.990234375
2024-05-10,7655.39013671875,19800,7672.8798828125
2024-05-13,7557.240234375,19300,7695.0
2024-05-14,7551.47021484375,18300,7590.66015625
2024-05-15,7818.72998046875,17800,7679.06982421875
2024-05-16,7702.9599609375,23100,7798.02978515625
2024-05-17,7669.0,14400,7757.080078125
2024-05-20,7677.759765625,12900,7685.56982421875
2024-05-21,7620.22021484375,12000,7678.91015625
2024-05-22,7457.72998046875,19200,7580.14013671875
2024-05-23,7392.14013671875,16800,7458.02001953125
2024-05-24,7416.31982421875,13800,7447.77978515625
2024-05-28,7356.1298828125,20500,7434.0
2024-05-29,7335.259765625,16300,7304.919921875
2024-05-30,7455.31005859375,18900,7356.41015625
2024-05-31,7680.72998046875,43400,7460.43994140625
2024-06-03,7627.31982421875,17000,7677.18017578125
2024-06-04,7543.18017578125,21700,7588.85986328125
2024-06-05,7644.0,17000,7550.0
2024-06-06,7590.419921875,15500,7651.7099609375
2024-06-07,7497.669921875,19300,7498.2001953125
2024-06-10,7544.2001953125,18400,7468.1201171875
2024-06-11,7494.77001953125,12400,7535.0
2024-06-12,7655.06005859375,21800,7663.2001953125
2024-06-13,7657.85009765625,14900,7590.56982421875
2024-06-14,7602.330078125,16500,7616.91015625
2024-06-17,7687.97998046875,19400,7560.66015625
2024-06-18,7539.759765625,20400,7634.68017578125
2024-06-20,7514.8798828125,22500,7507.56982421875
2024-06-21,7626.419921875,84300,7570.0
2024-06-24,7740.77978515625,22600,7650.0
2024-06-25,7571.669921875,20200,7737.9599609375
2024-06-26,7656.1298828125,15800,7556.52001953125
2024-06-27,7656.919921875,13400,7674.89990234375
2024-06-28,7588.56005859375,31400,7664.7099609375
2024-07-01,7482.16015625,14600,7636.990234375
2024-07-02,7460.7001953125,14300,7444.31982421875
2024-07-03,7456.990234375,12800,7447.31982421875
2024-07-05,7421.509765625,15900,7436.89013671875
2024-07-08,7454.06005859375,16900,7465.56005859375
2024-07-09,7484.080078125,16000,7444.06005859375
2024-07-10,7623.759765625,16200,7530.0
2024-07-11,8069.89013671875,25400,7783.66015625
2024-07-12,8062.27001953125,24000,8062.0
2024-07-15,8068.9599609375,17600,8080.0
2024-07-16,8500.0,25600,8140.0
2024-07-17,8312.349609375,19800,8457.6396484375
2024-07-18,8407.66015625,27700,8350.0
2024-07-19,8428.580078125,13900,8495.0
2024-07-22,8641.1201171875,24100,8477.990234375
2024-07-23,8599.919921875,30600,8512.0
2024-07-24,8404.490234375,18900,8571.98046875
2024-07-25,8471.8798828125,21300,8420.0
2024-07-26,8600.599609375,22300,8553.0302734375
2024-07-29,8600.83984375,16900,8617.3701171875
2024-07-30,8661.98046875,15600,8617.1396484375
2024-07-31,8607.48046875,19100,8700.0
2024-08-01,8554.509765625,23400,8614.0302734375
2024-08-02,8546.259765625,20500,8477.0
2024-08-05,8275.83984375,18200,8271.5302734375
2024-08-06,8309.33984375,14900,8275.83984375
2024-08-07,8265.3095703125,23900,8360.0
2024-08-08,8425.41015625,15900,8338.0
2024-08-09,8506.240234375,20700,8453.0
2024-08-12,8558.8095703125,35400,8500.0
2024-08-13,8568.01953125,15800,8556.0302734375
2024-08-14,8571.48046875,15200,8568.0
2024-08-15,8601.0400390625,12100,8602.150390625
2024-08-16,8668.9296875,13400,8631.0703125
2024-08-19,8854.8203125,21700,8719.9697265625
2024-08-20,8784.150390625,14700,8874.990234375
2024-08-21,8918.009765625,22700,8820.0
2024-08-22,8983.5595703125,19200,8961.900390625
2024-08-23,9321.26953125,30800,9073.0498046875
2024-08-26,9153.1103515625,16700,9325.0
2024-08-27,9076.0302734375,14400,9104.83984375
2024-08-28,9029.5302734375,16600,9056.9697265625
2024-08-29,9047.0,18200,9070.0
2024-08-30,9172.4599609375,18500,9110.0
